song_base,artist_canon,artist_name_has_spanish_char,artist_name_has_spanish_word,title_has_en_vivo,title_has_con_feat,genius_annotation_count,genius_pageviews
one of me,lil nas x featuring elton john,0,0,0,0,9.0,155436.0
race my mind,drake,0,0,0,0,9.0,407832.0
lost in the citadel,lil nas x,0,0,0,0,3.0,136369.0
sun goes down,lil nas x,0,0,0,0,5.0,391288.0
7am on bridle path,drake,0,0,0,0,57.0,805387.0
off the grid,kanye west,0,0,0,0,39.0,2277190.0
in da getto,j balvin and skrillex,0,0,0,0,,
skate,silk sonic (bruno mars and anderson .paak),0,0,0,0,,
am i dreaming,lil nas x featuring miley cyrus,0,0,0,0,2.0,134331.0
don't go yet,camila cabello,0,0,0,0,10.0,200033.0
country again,thomas rhett,0,0,0,0,0.0,9196.0
range brothers,baby keem and kendrick lamar,0,0,0,0,46.0,625578.0
every chance i get,dj khaled featuring lil baby and lil durk,0,0,0,0,,
imy2,drake featuring kid cudi,0,0,0,0,,
yebba's heartbreak,drake and yebba,0,0,0,0,,
get along better,drake featuring ty dolla $ign,0,0,0,0,5.0,266412.0
you only live twice,drake featuring lil wayne and rick ross,0,0,0,0,0.0,
lalisa,lisa,0,0,0,0,4.0,591201.0
fountains,drake featuring tems,0,0,0,0,,
single saturday night,cole swindell,0,0,0,0,0.0,8621.0
we didn't have much,justin moore,0,0,0,0,2.0,8077.0
jail,kanye west,0,0,0,0,23.0,1303167.0
fucking fans,drake,0,0,0,0,9.0,378607.0
the remorse,drake,0,0,0,0,19.0,312569.0
ok ok,kanye west,0,0,0,0,17.0,732816.0
junya,kanye west,0,0,0,0,14.0,714890.0
believe what i say,kanye west,0,0,0,0,10.0,649229.0
jonah,kanye west,0,0,0,0,16.0,859513.0
jesus lord,kanye west,0,0,0,0,30.0,920113.0
motley crew,post malone,0,0,0,0,8.0,385761.0
remote control,kanye west,0,0,0,0,13.0,594864.0
god breathed,kanye west,0,0,0,0,8.0,514092.0
heartbreak anniversary,giveon,0,0,0,0,8.0,750668.0
forever after all,luke combs,0,0,0,0,11.0,291499.0
heaven and hell,kanye west,0,0,0,0,16.0,561873.0
24,kanye west,0,0,0,0,10.0,601090.0
pure souls,kanye west,0,0,0,0,23.0,726182.0
no child left behind,kanye west,0,0,0,0,4.0,694473.0
donda,kanye west,0,0,0,0,6.0,679413.0
keep my spirit alive,kanye west,0,0,0,0,13.0,688017.0
jail pt 2,kanye west,0,0,0,0,11.0,553275.0
i am not a woman i'm a god,halsey,0,0,0,0,17.0,293733.0
new again,kanye west,0,0,0,0,16.0,562101.0
lord i need you,kanye west,0,0,0,0,21.0,494123.0
come to life,kanye west,0,0,0,0,14.0,624062.0
tell the vision,kanye west,0,0,0,0,3.0,270919.0
brutal,olivia rodrigo,0,0,0,0,11.0,1112973.0
am,nio garcia x j balvin x bad bunny,0,0,0,0,,
repeat it,lil tecca and gunna,0,0,0,0,0.0,
matt hardy 999,trippie redd featuring juice wrld,0,0,0,0,34.0,425850.0
blinding lights,the weeknd,0,0,0,0,11.0,3040202.0
glad you exist,dan + shay,0,0,0,0,2.0,42053.0
without you,the kid laroi,0,0,0,0,2.0,820483.0
astronaut in the ocean,masked wolf,0,0,0,0,4.0,800868.0
rapstar,polo g,0,0,0,0,17.0,1371627.0
famous friends,chris young + kane brown,0,0,0,0,9.0,21530.0
lil bit,nelly and florida georgia line,0,0,0,0,,
beautiful mistakes,maroon 5 featuring megan thee stallion,0,0,0,0,,
rich mf,trippie redd featuring lil durk and polo g,0,0,0,0,,
already won,rod wave featuring lil durk,0,0,0,0,2.0,80548.0
betrayal,trippie redd featuring drake,0,0,0,0,,
don't go,"skrillex, justin bieber and don toliver",0,0,0,0,,
tombstone,rod wave,0,0,0,0,12.0,396338.0
visiting hours,ed sheeran,0,0,0,0,4.0,461247.0
holy smokes,trippie redd featuring lil uzi vert,0,0,0,0,,
miss the rage,trippie redd and playboi carti,0,0,0,0,,
you,regard x troye sivan x tate mcrae,0,0,0,0,,
mp5,trippie redd featuring sofaygo,0,0,0,0,32.0,78150.0
paralyzed,sueco,0,0,0,0,3.0,163139.0
i guess i'm in love,clinton kane,0,0,0,0,2.0,576394.0
get ready,rod wave featuring kodak black,0,0,0,0,5.0,55227.0
danny phantom,trippie redd featuring xxxtentacion,0,0,0,0,16.0,74510.0
what's wrong,rod wave,0,0,0,0,1.0,87341.0
demon time,trippie redd featuring ski mask the slump god,0,0,0,0,,
tick tock,young thug,0,0,0,0,5.0,60924.0
permission to dance,bts,0,0,0,0,3.0,1175774.0
time heals,rod wave,0,0,0,0,1.0,60280.0
mind of melvin,ynw melly featuring lil uzi vert,0,0,0,0,10.0,195645.0
papercuts,machine gun kelly,0,0,0,0,10.0,175257.0
suvs,jack harlow and pooh shiesty,0,0,0,0,,
straightenin,migos,0,0,0,0,22.0,252281.0
